# IDs, i, j, k, m, r, m200, r200, m180, r180
1.636021286600000000e+10 9.750000000000000000e+02 5.920000000000000000e+02 2.434000000000000000e+03 1.043910000000000000e+12 1.000000000000000000e+01 7.384640403879357422e+12 1.100000000000000000e+01 1.072185840014491016e+13 1.900000000000000000e+01
7.226363733000000000e+09 4.300000000000000000e+02 2.968000000000000000e+03 3.925000000000000000e+03 1.045260000000000000e+12 1.000000000000000000e+01 7.353547555588992188e+12 1.100000000000000000e+01 1.040448872650750781e+13 1.900000000000000000e+01
1.463134333300000000e+10 8.720000000000000000e+02 3.930000000000000000e+02 1.253000000000000000e+03 1.046060000000000000e+12 1.000000000000000000e+01 7.516355879671693359e+12 1.100000000000000000e+01 9.774237411422685547e+12 1.900000000000000000e+01
4.836108889100000000e+10 2.882000000000000000e+03 2.234000000000000000e+03 1.915000000000000000e+03 1.050580000000000000e+12 9.000000000000000000e+00 7.048175086285250000e+12 1.100000000000000000e+01 9.836991048906857422e+12 1.900000000000000000e+01
2.565831007300000000e+10 1.529000000000000000e+03 1.451000000000000000e+03 3.513000000000000000e+03 1.050750000000000000e+12 1.000000000000000000e+01 6.830511683747231445e+12 1.100000000000000000e+01 1.009151600173584961e+13 1.900000000000000000e+01
2.048373872700000000e+10 1.220000000000000000e+03 3.792000000000000000e+03 3.175000000000000000e+03 1.051700000000000000e+12 1.100000000000000000e+01 4.172493068116062500e+12 9.000000000000000000e+00 9.647641510836853516e+12 1.900000000000000000e+01
1.320734208300000000e+10 7.870000000000000000e+02 8.960000000000000000e+02 3.075000000000000000e+03 1.052280000000000000e+12 1.100000000000000000e+01 5.737740759180640625e+12 1.000000000000000000e+01 1.060273896806107422e+13 1.900000000000000000e+01
1.938741071700000000e+10 1.155000000000000000e+03 2.374000000000000000e+03 2.333000000000000000e+03 1.052320000000000000e+12 1.000000000000000000e+01 6.845175531610543945e+12 1.100000000000000000e+01 9.548578330048046875e+12 1.900000000000000000e+01
3.349440084000000000e+09 1.990000000000000000e+02 2.630000000000000000e+03 1.620000000000000000e+03 1.052870000000000000e+12 1.000000000000000000e+01 6.995081327722621094e+12 1.100000000000000000e+01 9.657120335894835938e+12 1.900000000000000000e+01
1.236044247500000000e+10 7.360000000000000000e+02 3.030000000000000000e+03 6.190000000000000000e+02 1.053580000000000000e+12 1.000000000000000000e+01 7.421023170129273438e+12 1.100000000000000000e+01 1.106248845364709961e+13 2.000000000000000000e+01
3.265346513400000000e+10 1.946000000000000000e+03 1.221000000000000000e+03 1.582000000000000000e+03 1.055540000000000000e+12 1.000000000000000000e+01 8.267626806680691406e+12 1.200000000000000000e+01 1.001203128166329492e+13 1.900000000000000000e+01
1.949209874700000000e+10 1.161000000000000000e+03 3.357000000000000000e+03 6.990000000000000000e+02 1.056530000000000000e+12 1.000000000000000000e+01 7.479951762192486328e+12 1.100000000000000000e+01 9.887177471835056641e+12 1.900000000000000000e+01
6.792711264000000000e+09 4.040000000000000000e+02 3.592000000000000000e+03 3.168000000000000000e+03 1.057560000000000000e+12 1.000000000000000000e+01 7.579675386197050781e+12 1.100000000000000000e+01 9.644054329395376953e+12 1.900000000000000000e+01
2.979913280600000000e+10 1.776000000000000000e+03 6.820000000000000000e+02 3.718000000000000000e+03 1.058540000000000000e+12 1.100000000000000000e+01 6.595815617796390625e+12 1.100000000000000000e+01 1.031913849754196875e+13 1.900000000000000000e+01
5.293627026700000000e+10 3.155000000000000000e+03 1.014000000000000000e+03 4.430000000000000000e+02 1.059480000000000000e+12 1.100000000000000000e+01 6.770652888929814453e+12 1.100000000000000000e+01 1.014443630738248828e+13 1.900000000000000000e+01
5.878928301000000000e+10 3.504000000000000000e+03 4.680000000000000000e+02 1.218000000000000000e+03 1.060500000000000000e+12 9.000000000000000000e+00 3.932312091935300781e+12 9.000000000000000000e+00 8.633795956713000977e+12 1.800000000000000000e+01
6.496870325900000000e+10 3.872000000000000000e+03 1.787000000000000000e+03 3.355000000000000000e+03 1.062150000000000000e+12 9.000000000000000000e+00 6.376823731221680664e+12 1.100000000000000000e+01 9.985138980441470703e+12 1.900000000000000000e+01
2.700123731000000000e+10 1.609000000000000000e+03 1.634000000000000000e+03 3.902000000000000000e+03 1.062390000000000000e+12 1.000000000000000000e+01 1.966059727174163818e+12 8.000000000000000000e+00 6.252518481658503906e+12 1.600000000000000000e+01
1.075629593900000000e+10 6.410000000000000000e+02 5.120000000000000000e+02 3.331000000000000000e+03 1.062490000000000000e+12 1.000000000000000000e+01 6.308619471607152344e+12 1.100000000000000000e+01 9.815904732492203125e+12 1.900000000000000000e+01
4.874534207000000000e+09 2.900000000000000000e+02 2.231000000000000000e+03 3.391000000000000000e+03 1.063300000000000000e+12 1.100000000000000000e+01 7.142665979725685547e+12 1.100000000000000000e+01 9.963822127342960938e+12 1.900000000000000000e+01
1.044970999300000000e+10 6.220000000000000000e+02 3.486000000000000000e+03 2.985000000000000000e+03 1.064160000000000000e+12 1.000000000000000000e+01 6.182093193738909180e+12 1.100000000000000000e+01 9.529807057945154297e+12 1.900000000000000000e+01
4.726741881900000000e+10 2.817000000000000000e+03 1.465000000000000000e+03 7.070000000000000000e+02 1.065770000000000000e+12 1.000000000000000000e+01 6.887511158950291016e+12 1.100000000000000000e+01 1.015176387381712891e+13 1.900000000000000000e+01
5.291708517200000000e+10 3.154000000000000000e+03 4.260000000000000000e+02 1.012000000000000000e+03 1.069180000000000000e+12 1.000000000000000000e+01 6.849575854795844727e+12 1.100000000000000000e+01 9.724321306109625000e+12 1.900000000000000000e+01
5.613822900100000000e+10 3.346000000000000000e+03 4.060000000000000000e+02 1.289000000000000000e+03 1.069980000000000000e+12 9.000000000000000000e+00 8.512412650439224609e+12 1.200000000000000000e+01 1.033833220590871289e+13 1.900000000000000000e+01
4.044940086900000000e+10 2.410000000000000000e+03 3.982000000000000000e+03 3.700000000000000000e+01 1.069990000000000000e+12 1.000000000000000000e+01 7.424441111926388672e+12 1.100000000000000000e+01 1.043885897280854688e+13 1.900000000000000000e+01
6.410271021600000000e+10 3.820000000000000000e+03 3.355000000000000000e+03 3.016000000000000000e+03 1.070200000000000000e+12 1.000000000000000000e+01 6.975257359040669922e+12 1.100000000000000000e+01 9.783706496616863281e+12 1.900000000000000000e+01
5.015222431500000000e+10 2.989000000000000000e+03 1.251000000000000000e+03 1.595000000000000000e+03 1.071260000000000000e+12 1.000000000000000000e+01 2.932395647369562012e+12 8.000000000000000000e+00 6.114054316785559570e+12 1.600000000000000000e+01
6.000598143300000000e+10 3.576000000000000000e+03 2.601000000000000000e+03 3.321000000000000000e+03 1.071460000000000000e+12 1.100000000000000000e+01 4.221455803651385254e+12 9.000000000000000000e+00 1.017545908727442773e+13 1.900000000000000000e+01
2.464484518700000000e+10 1.468000000000000000e+03 3.879000000000000000e+03 3.715000000000000000e+03 1.074850000000000000e+12 1.000000000000000000e+01 7.448820505903022461e+12 1.100000000000000000e+01 1.009417213191873828e+13 1.900000000000000000e+01
6.738531882900000000e+10 4.016000000000000000e+03 1.957000000000000000e+03 3.501000000000000000e+03 1.075130000000000000e+12 1.000000000000000000e+01 7.317656711630574219e+12 1.100000000000000000e+01 1.058194609883848828e+13 1.900000000000000000e+01
6.811026072000000000e+09 4.050000000000000000e+02 3.968000000000000000e+03 6.640000000000000000e+02 1.076430000000000000e+12 1.000000000000000000e+01 7.130084398175945312e+12 1.100000000000000000e+01 1.067222186705067773e+13 1.900000000000000000e+01
3.084249914400000000e+10 1.838000000000000000e+03 1.459000000000000000e+03 7.200000000000000000e+01 1.077400000000000000e+12 1.000000000000000000e+01 6.933777370324129883e+12 1.100000000000000000e+01 1.137325251699592578e+13 2.000000000000000000e+01
5.054789068100000000e+10 3.012000000000000000e+03 3.641000000000000000e+03 2.553000000000000000e+03 1.077430000000000000e+12 1.000000000000000000e+01 6.994655882211116211e+12 1.100000000000000000e+01 9.925312865259873047e+12 1.900000000000000000e+01
5.020271609900000000e+10 2.992000000000000000e+03 1.290000000000000000e+03 1.987000000000000000e+03 1.078330000000000000e+12 1.000000000000000000e+01 1.056814228225914062e+12 8.000000000000000000e+00 1.322064984416612793e+12 1.000000000000000000e+01
3.969716029000000000e+09 2.360000000000000000e+02 2.512000000000000000e+03 3.901000000000000000e+03 1.078440000000000000e+12 1.000000000000000000e+01 7.666984506128745117e+12 1.100000000000000000e+01 1.139511784098762695e+13 2.000000000000000000e+01
1.478224608900000000e+10 8.810000000000000000e+02 3.700000000000000000e+02 3.273000000000000000e+03 1.079020000000000000e+12 1.000000000000000000e+01 7.164269309181066406e+12 1.100000000000000000e+01 1.061447006556834961e+13 1.900000000000000000e+01
5.662193515400000000e+10 3.374000000000000000e+03 3.810000000000000000e+03 2.610000000000000000e+03 1.080530000000000000e+12 1.000000000000000000e+01 7.184537525254930664e+12 1.100000000000000000e+01 1.043797709573067383e+13 1.900000000000000000e+01
6.705046669100000000e+10 3.996000000000000000e+03 2.126000000000000000e+03 3.459000000000000000e+03 1.083290000000000000e+12 1.100000000000000000e+01 7.405681517158096680e+12 1.100000000000000000e+01 1.027331219223651953e+13 1.900000000000000000e+01
4.654588858000000000e+10 2.774000000000000000e+03 1.438000000000000000e+03 1.348000000000000000e+03 1.084920000000000000e+12 9.000000000000000000e+00 7.530452519892368164e+12 1.100000000000000000e+01 1.150643085229219336e+13 2.000000000000000000e+01
1.546633543600000000e+10 9.210000000000000000e+02 3.544000000000000000e+03 3.276000000000000000e+03 1.086010000000000000e+12 9.000000000000000000e+00 5.101755316646534180e+12 1.000000000000000000e+01 7.390852905371235352e+12 1.700000000000000000e+01
1.367689442200000000e+10 8.150000000000000000e+02 8.450000000000000000e+02 2.262000000000000000e+03 1.086620000000000000e+12 9.000000000000000000e+00 7.285715557986522461e+12 1.100000000000000000e+01 8.902341080239332031e+12 1.800000000000000000e+01
4.217640037200000000e+10 2.513000000000000000e+03 3.724000000000000000e+03 3.060000000000000000e+03 1.086660000000000000e+12 1.000000000000000000e+01 8.260340816321296875e+12 1.200000000000000000e+01 1.052192029218584961e+13 1.900000000000000000e+01
4.470921268000000000e+09 2.660000000000000000e+02 1.997000000000000000e+03 2.100000000000000000e+03 1.089250000000000000e+12 1.000000000000000000e+01 7.066386263184500000e+12 1.100000000000000000e+01 1.141448384833229688e+13 2.000000000000000000e+01
4.914509729000000000e+10 2.929000000000000000e+03 1.130000000000000000e+03 3.146000000000000000e+03 1.092730000000000000e+12 1.100000000000000000e+01 7.170699536714222656e+12 1.100000000000000000e+01 1.015006410467415625e+13 1.900000000000000000e+01
2.357217824900000000e+10 1.405000000000000000e+03 4.600000000000000000e+01 1.353000000000000000e+03 1.096250000000000000e+12 1.000000000000000000e+01 7.058130625750341797e+12 1.100000000000000000e+01 1.030483507774041016e+13 1.900000000000000000e+01
2.354086028500000000e+10 1.403000000000000000e+03 5.920000000000000000e+02 1.405000000000000000e+03 1.097380000000000000e+12 1.000000000000000000e+01 7.365827936929661133e+12 1.100000000000000000e+01 1.167752928136813281e+13 2.000000000000000000e+01
4.019844191200000000e+10 2.396000000000000000e+03 5.600000000000000000e+01 3.000000000000000000e+03 1.100540000000000000e+12 1.000000000000000000e+01 2.309593192924653320e+12 8.000000000000000000e+00 1.002718359125309961e+13 1.900000000000000000e+01
3.949443520000000000e+10 2.354000000000000000e+03 2.120000000000000000e+02 3.840000000000000000e+02 1.100950000000000000e+12 1.100000000000000000e+01 7.151617278087163086e+12 1.100000000000000000e+01 1.145064306063865820e+13 2.000000000000000000e+01
1.519745475700000000e+10 9.050000000000000000e+02 3.436000000000000000e+03 4.210000000000000000e+02 1.105760000000000000e+12 9.000000000000000000e+00 7.550133923934447266e+12 1.100000000000000000e+01 1.056347002779637305e+13 1.900000000000000000e+01
5.392389441100000000e+10 3.214000000000000000e+03 4.690000000000000000e+02 1.163000000000000000e+03 1.108750000000000000e+12 1.000000000000000000e+01 8.275752730120805664e+12 1.200000000000000000e+01 1.111356646758311914e+13 2.000000000000000000e+01
1.486226552900000000e+10 8.850000000000000000e+02 3.522000000000000000e+03 3.257000000000000000e+03 1.109040000000000000e+12 1.000000000000000000e+01 7.213334127961745117e+12 1.100000000000000000e+01 1.354456009760231250e+13 2.100000000000000000e+01
4.122593838900000000e+10 2.457000000000000000e+03 1.054000000000000000e+03 1.493000000000000000e+03 1.109610000000000000e+12 1.000000000000000000e+01 7.421793931346449219e+12 1.100000000000000000e+01 1.117651911155134570e+13 2.000000000000000000e+01
5.458117211000000000e+09 3.250000000000000000e+02 1.348000000000000000e+03 6.030000000000000000e+02 1.111610000000000000e+12 1.000000000000000000e+01 2.759677449389235840e+12 8.000000000000000000e+00 8.974930952208394531e+12 1.800000000000000000e+01
5.223500093700000000e+10 3.113000000000000000e+03 1.837000000000000000e+03 3.177000000000000000e+03 1.114500000000000000e+12 1.100000000000000000e+01 5.687885669064264648e+12 1.000000000000000000e+01 9.887316550851152344e+12 1.900000000000000000e+01
3.922640912900000000e+10 2.338000000000000000e+03 3.120000000000000000e+02 1.690000000000000000e+02 1.114570000000000000e+12 1.100000000000000000e+01 8.730948334841879883e+12 1.200000000000000000e+01 1.147450824743593555e+13 2.000000000000000000e+01
3.504214595300000000e+10 2.088000000000000000e+03 2.763000000000000000e+03 1.697000000000000000e+03 1.117860000000000000e+12 1.100000000000000000e+01 7.542540487655896484e+12 1.100000000000000000e+01 1.012636532802113086e+13 1.900000000000000000e+01
4.864780538200000000e+10 2.899000000000000000e+03 2.601000000000000000e+03 2.502000000000000000e+03 1.118080000000000000e+12 1.000000000000000000e+01 8.848208158401960938e+12 1.200000000000000000e+01 1.046393447747753516e+13 1.900000000000000000e+01
5.570059371500000000e+10 3.320000000000000000e+03 5.700000000000000000e+01 3.123000000000000000e+03 1.119440000000000000e+12 1.000000000000000000e+01 5.622926983891696289e+12 1.000000000000000000e+01 1.051207006289776172e+13 1.900000000000000000e+01
3.168200395000000000e+10 1.888000000000000000e+03 1.616000000000000000e+03 1.006000000000000000e+03 1.120350000000000000e+12 1.100000000000000000e+01 6.929964571743027344e+12 1.100000000000000000e+01 1.127731856136679492e+13 2.000000000000000000e+01
5.739792134100000000e+10 3.421000000000000000e+03 7.480000000000000000e+02 1.597000000000000000e+03 1.124260000000000000e+12 9.000000000000000000e+00 8.405516971141956055e+12 1.200000000000000000e+01 1.161145610671037695e+13 2.000000000000000000e+01
5.353751394600000000e+10 3.191000000000000000e+03 3.460000000000000000e+02 4.740000000000000000e+02 1.125500000000000000e+12 1.100000000000000000e+01 7.100741726321787109e+12 1.100000000000000000e+01 1.174509943292574609e+13 2.000000000000000000e+01
2.367205378300000000e+10 1.410000000000000000e+03 3.950000000000000000e+03 2.300000000000000000e+01 1.127050000000000000e+12 1.000000000000000000e+01 7.682715689519482422e+12 1.100000000000000000e+01 1.133806878098400781e+13 2.000000000000000000e+01
3.750587555600000000e+10 2.235000000000000000e+03 2.147000000000000000e+03 3.684000000000000000e+03 1.129300000000000000e+12 1.000000000000000000e+01 7.596390145458113281e+12 1.100000000000000000e+01 1.071443542117254883e+13 1.900000000000000000e+01
6.332923610000000000e+10 3.774000000000000000e+03 2.935000000000000000e+03 1.156000000000000000e+03 1.134450000000000000e+12 1.000000000000000000e+01 7.665336948768077148e+12 1.100000000000000000e+01 1.046765305002837305e+13 1.900000000000000000e+01
6.265859808600000000e+10 3.734000000000000000e+03 3.045000000000000000e+03 1.222000000000000000e+03 1.134800000000000000e+12 1.000000000000000000e+01 7.248666790771303711e+12 1.100000000000000000e+01 1.056837154320101172e+13 1.900000000000000000e+01
5.800167591200000000e+10 3.457000000000000000e+03 6.930000000000000000e+02 1.672000000000000000e+03 1.137860000000000000e+12 1.000000000000000000e+01 6.684385094999138672e+12 1.100000000000000000e+01 1.115973288176576367e+13 2.000000000000000000e+01
3.596216148700000000e+10 2.143000000000000000e+03 2.096000000000000000e+03 2.383000000000000000e+03 1.139400000000000000e+12 1.000000000000000000e+01 5.536850201573946289e+12 1.000000000000000000e+01 1.029478299757375781e+13 1.900000000000000000e+01
1.521479599200000000e+10 9.060000000000000000e+02 3.573000000000000000e+03 3.288000000000000000e+03 1.140370000000000000e+12 1.100000000000000000e+01 5.247234134879042969e+12 1.000000000000000000e+01 1.024986910953834766e+13 1.900000000000000000e+01
1.559636180600000000e+10 9.290000000000000000e+02 2.521000000000000000e+03 2.126000000000000000e+03 1.141670000000000000e+12 1.000000000000000000e+01 8.380082144206487305e+12 1.200000000000000000e+01 1.124292698014446289e+13 2.000000000000000000e+01
2.864212227500000000e+10 1.707000000000000000e+03 8.330000000000000000e+02 2.595000000000000000e+03 1.146140000000000000e+12 1.000000000000000000e+01 8.536652940922294922e+12 1.200000000000000000e+01 1.162761651744913086e+13 2.000000000000000000e+01
3.029171650000000000e+10 1.805000000000000000e+03 2.158000000000000000e+03 2.452000000000000000e+03 1.147870000000000000e+12 1.000000000000000000e+01 5.538756919938473633e+12 1.000000000000000000e+01 9.996008155460175781e+12 1.900000000000000000e+01
6.568153468100000000e+10 3.914000000000000000e+03 3.786000000000000000e+03 3.801000000000000000e+03 1.148320000000000000e+12 1.000000000000000000e+01 7.595980890214520508e+12 1.100000000000000000e+01 1.093337884962213867e+13 2.000000000000000000e+01
1.445723737200000000e+10 8.610000000000000000e+02 2.942000000000000000e+03 3.964000000000000000e+03 1.148660000000000000e+12 1.000000000000000000e+01 8.844408039783095703e+12 1.200000000000000000e+01 1.286671652816952930e+13 2.100000000000000000e+01
6.537219979700000000e+10 3.896000000000000000e+03 1.993000000000000000e+03 2.933000000000000000e+03 1.148990000000000000e+12 1.000000000000000000e+01 8.421343708041501953e+12 1.200000000000000000e+01 1.179437072008916602e+13 2.000000000000000000e+01
4.908930491800000000e+10 2.925000000000000000e+03 3.893000000000000000e+03 2.390000000000000000e+03 1.150670000000000000e+12 1.200000000000000000e+01 5.442765836721400391e+12 1.000000000000000000e+01 1.053403840543446484e+13 1.900000000000000000e+01
4.252688726000000000e+09 2.530000000000000000e+02 1.966000000000000000e+03 3.420000000000000000e+02 1.151020000000000000e+12 1.000000000000000000e+01 7.501635774908003906e+12 1.100000000000000000e+01 1.153892591436292383e+13 2.000000000000000000e+01
